Bezirk Steglitz-Zehlendorf: Energieverbrauchsübersicht bezirklicher Liegenschaften 2017-2018-2019,,,,,,,
,,,,,,,
lfd. Nr.,Liegenschaft,Adresse,PLZ,Art der Wärme-versorgung,Wärmeverbrauch witterungsbereinigt [kWh],Stromverbrauch [kWh],Bemerkungen
20,Helene-Lange-Gesamtschule - ehem. Friedrich-Bayer-OS,Lauenburgerstr.110,12169,Fernwärme,1.481.074,74.72,versorgt mit Wärme: Nr. 1; 25
21,Max von Laue Oberschule,Dürerstr. 27,12203,Gas,684.833,65.969,
22,Schmidt-Ott-Oberschule,Plantagenstr.8-10,12169,Gas,342.22,33.65,
23,Beethoven -Oberschule,Barbarastr.9,12249,Gas,1.420.337,147.274,
24,Paulsen-Gymnasium,Gritznerstr. 57,12163,Gas,706.183,85.903,
25,Hermann Ehlers Oberschule,Elisenstr.3-4,12169,Fernwärme,1.644,89.832,Wärmeversorgung aus Nr. 20
26,Fichtenberg Oberschule & Rothenburg-Grundschule,Rothenburgstr. 16-18,12165,Fernwärme,1.164.624,138.178,
27,Lilienthal Oberschule,Ringstr.2-3,12203,Gas,837.632,148.914,
28,Goethe Oberschule,Drakestr.72-75,12205,Fernwärme,705.85,183.525,
29,Willi-Graf-Oberschule,Ostpreußendamm 166-167,12207,Gas,902.929,148.907,
30,Gymnasium Steglitz,Heesestr. 15,12169,Gas,668.053,122.527,
31,Kopernikus Oberschule,Lepsiusstr. 24-28,12163,Fernwärme,1.173.400,301.154,versorgt mit Strom: Nr. 3
32,Turnhalle der ehem. Kopernikus Oberschule,Ostpreußendamm 108 / Lippstädter Str .5,12207,Fernwärme,352.347,128.01,
33,Bröndby Oberschule,Dessauerstr. 63,12249,Gas,20.191,375.605,anteilige Wärmeversorgung aus Nr. 35
34,Friedrich-Drake-Grundschule,Drakestr.80,12205,Fernwärme,339.371,65.077,
35,Paul-Braune-Schule / Beethoven-OS-Filiale,Dessauerstraße 49-55,12249,Gas,1.892.395,90.007,versorgt mit Wärme Nr. 33
36,Johann-August-Zeune-Schule,Rothenburgstr.14,12165,Fernwärme,971.525,190.019,
37,Peter-Frankenfeld-Schule,Wedellstr. 26,12247,Gas,608.969,136.243,
38,Freilandlabor - Steglitz,Gärtnerstr. 14-16,12207,Nachtspeicher-heizung,19.399,1.384,
39,Nord-Grundschule,Potsdamer Str. 7,14163,Gas,815.263,0,Stromversorgung aus Nr. 184
40,Süd-Grundschule,Claszeile 56,14165,Gas,164.784,106.75,
41,Johannes-Tews-Grundschule,Wasgenst.50 //  Tewsstr.23/16a  // V-Luck-Str. 24,14129,Gas,314.775,250.662,anteilige Wärmeversorgung und Stromversorgung aus Nr. 57; versorgt mit Strom Nr. 57; 171
42,Erich-Kästner-Grundschule,Bachstelzenweg 2-8,14195,Gas,1.125.973,99.37,
43,Conrad-Grundschule,Schulstr. 4,14109,Gas,1.040.935,273.66,"versorgt mit Strom: Nr. 67; 71; 100; 101; 141 sowie Kita Alsenstraße (LEB ""Süd-West"")"
44,Mühlenau-Grundschule,Molsheimer Str. 7,14195,Fernwärme,701.756,95.756,
45,Zinnowald-Grundschule,Wilskistr.78-80,14163,Gas,1.007.577,915.099,"versorgt mit Strom: Nr. 51; 59; 102; 105; 173; 174 sowie Kita Wilskistraße 75 (LEB ""Süd-West"")"
46,Schweizerhof-Grundschule,Leo-Baeck-Str. 28-30,14167,Gas,33.486,0,anteilige Wärmeversorgung aus Nr. 72; Stromversorgung aus Nr. 61
47,Dreilinden-Oberschule,Dreilindenstr. 47-49,14109,Gas,1.296.866,234.094,versorgt mit Wärme und Strom Nr. 48
48,Dreilinden-Grundschule,Dreilindenstr. 65,14109,Gas,,0,Wärme- und Stromversorgung aus Nr. 47
49,Grundschule am Buschgraben,Ludwigsfelder Str. 43-47,14165,Gas,434.886,68.739,
50,Nikolaus-August-Otto-Oberschule - Filiale,"Am Rohrgarten 7, 9",14109,Gas,379.389,113.731,versorgt mit Strom Kita Am Rohrgarten (Freier Träger)
51,Leistikow-Turnhalle,Hartmannsweilerweg 65,14163,Gas,221.846,0,Stromversorgung aus Nr. 45
52,Schadow-Oberschule - ehem. Realschule,Beuckestr. 25,14163,Gas,584.994,0,versorgt mit Wärme Nr. 54
53,Gail S. Halvorsen Oberschule,Im Gehege 6-8,14195,Gas,897.01,66.75,
54,Schadow-Oberschule - ehem. Gymnasium,Beuckestr. 27-29,14163,Gas,43.849,305.487,versorgt mit Strom Nr. 52; 129; Wärmeversorgung aus Nr. 52
55,Droste-Hülshoff-Oberschule,Schönower Str. 8,14165,Gas,1.124.127,159.517,
56,Arndt-Oberschule,Königin-Luise-Str. 80-84/85,14195,Gas,1.122.771,191.732,
57,Werner-von-Siemens-Oberschule,Beskidenstr. 1; 1-5; 7,14129,Gas,1.499.389,511,anteilige Stromversorgung aus Nr. 41
58,Wilma-Rudolf-Gesamtschule,Am Hegewinkel 2a,14167,Fernwärme,1.294.974,323.172,
59,Pestalozzi-Sonderschule,Hartmannsweilerweg 47,14163,Gas,397.765,0,Stromversorgung aus Nr. 45
60,"Biesalski-Sonderschule, Quentin-Blake-Grundschule & Staatl. Europa-Schule",Hüttenweg 40,14167,Fernwärme,1.465.208,541.963,"versorgt mit Strom: Nr. 103; 104 sowie Kita Flanaganstraße (LEB ""Süd-West"")"
61,John-F.-Kennedy-Schule,Teltower Damm  87 - 93,14167,Gas,3.717.808,1.226.029,versorgt mit Strom Nr. 46; 72; Liegenschaft ist ab dem 01.01.2019 von BIM GmbH verwaltet
62,HORT Gallwitzallee 116,Gallwitzallee 116,12249,Gas,110.518,5.983,
63,HORT Langkofelweg 18,"Langkofelweg, 18",12247,Gas,137.558,19.446,
64,HORT Murtenerstraße 10,Murtenerstr.10a,12205,Gas,124.557,13.976,
65,HORT Treitschkestraße 28-30,Treitschkestr. 28-30,12163,Gas,151.965,11.055,
66,JFH - Schottenburg / Verkehrsgarten,Brittendorfer Weg 16+16b,14167,Fernwärme,196.886,30.745,
67,Kita Chausseestraße  27,Chausseestr. 27 - 28,14109,Gas,67.891,,Stromversorgung aus Nr. 43
68,HORT Claszeile 57,Claszeile 57,14165,Gas,319.112,24.7,
69,HORT Ihnestraße,Ihnestr. 74-76,14195,Fernwärme,97.404,25.948,
70,HORT Jaehnstraße,Jaehnstr. 14,14163,Gas,80.548,9.089,
71,Kita Rathaus Wannsee / JFH  Wannsee,Königstr. 42,14109,Gas,308.041,,Stromversorgung aus Nr. 43
72,Kita Reha-Zentrum,Teltower Damm 95-123,14163,Gas,3.114.547,,Stromversorgung aus Nr. 61; Liegenschaft ist ab dem 01.01.2019 von BIM GmbH verwaltet
73,Kita Zentrum am Kleeblatt,Von-der-Trenck-Str. 4,14165,Gas,243.905,40.65,
74,Haus der Jugend am Eichgarten 14,Am Eichgarten 14,12167,Fernwärme,145.486,13.431,
75,"Jugendfreizeitheim ""Haus der Jugend""",Argentinische Allee 28,14163,Gas,192.638,23.437,
76,Spielplatz Bergstraße 51,Bergstr. 51,12169,Gas,26.718,4.402,
77,Jugendfreizeitheim Flemingstraße 14b,Flemingstr. 14b,12163,Gas,250.459,12.077,
78,Jugendwerkheim Geraer Straße 43,Geraer Str. 43,12209,Gas,53.519,3.844,
79,Jugendfreizeitheim Jungfernstieg 19,Jungfernstieg 19,12207,Gas,146.789,15.807,
80,JAZ - Jugendausbildungszentrum,Lissabonallee 6,14129,Gas,2.384.121,384.05,
81,Jugendfreizeitheim Memlingstraße 14a,Memlingstr. 14a,12203,Gas,139.316,7.355,
82,KBH Ramsteinweg,Ramsteinweg 40,14165,Gas,111.721,18.017,
83,Jugendfreizeitheim Scheelestr/Osdorferstr.,Scheelestr. 145 / Osdorferstr. 90,12209,Fernwärme,152.903,,Stromversorgung aus Nr. 93
84,Jugendgesundheitsdienst Schwendenerstraße,Schwendenerstr. 39,14195,Gas,56.527,4.823,
85,"Jugendfreizeitheim ""Haus Teltow""",Teltower Damm 228,14167,Gas,131.015,16.294,
86,Kinderhaus Schlachtensee (Kinderheim Lindenhof),Quastheide 1/ Wasgensteig 51,14163,Gas,507.174,40.683,
87,Jugendheim Wichurastraße 59,Wichurastr. 59,12249,Gas,57.416,5.898,
88,Jugendwerkheim Königin-Luise-Straße 94,Königin-Luise-Str. 94,14195,Gas,515.083,23.53,versorgt mit Wärme Nr. 123; 124; 125
89,"""Haus Lankwitz"" Bethovenstraße 28-38",Beethovenstr. 28-38,12247,Gas,988.798,92.275,
90,Jugendheim Bergstr. 2,Bergstr. 2-4,14109,Gas,636.52,50.007,
91,Stadion Lichterfelde,Ostpreußendamm 3-17,12207,Gas,640.132,81.97,
92,Sportanlage Lessingstraße,Lessingstr. 5-8,12169,Gas,597.992,66.182,
93,Sportanlage Osdorferstraße,Osdorferstr. 53,12207,Fernwärme,259.29,335.776,"versorgt mit Strom Nr. 83 sowie Kita Reamurstraße aus Nr. dem LEB ""Süd-West"""
94,Sportanlage Malteserstraße,Malteserstr. 53,12249,Gas,74.992,11.979,
95,Sportanlage Leonorenstr./Edenkobenerweg,Leonorenstr. 37-39,12247,Fernwärme,858.981,370.338,
96,Sportanlage Schildhornstr./Kreuznacherstr.,Schildhornstr Str. 29-45,12163,Gas,118.168,41.541,
97,Rollschuhbahn Mühlenstraße,Mühlenstr. 70,12249,Gas,121.91,8.624,versorgt mit Wärme Nr. 144
98,Sportanlage Gallwitzallee,Geraerstr. 99,12249,Gas,112.735,24.554,
99,Sportanlage Wedellstraße,Wedellstr. 57,12249,Gas,712.384,72.125,
100,Gymnastikhalle Wannsee,Königstr. 42a,14109,Gas,79.928,,Stromversorgung aus Nr. 43
101,Sportplatz Wannsee & Alsenstraße,Chausseestr. 29,14109,Gas,142.98,10.814,Stromversorgung aus Nr. 43
102,Sporthalle Zehlendorf,Onkel-Tom-Str. 60,14169,Gas,326.525,,Stromversorgung aus Nr. 45
103,Cole Sports Center Hüttenweg,Hüttenweg 43,14195,Fernwärme,522.776,,Stromversorgung aus Nr. 60
104,Sporthalle Marshallstraße,Marshallstr. 3,14169,Fernwärme,241.333,,Stromversorgung aus Nr. 60
105,Ernst-Reuter-Sportfeld,Onkel-Tom-Str. 40 / Siebenendenweg,14169,Gas,490.752,27.471,anteilige Stromversorgung aus Nr. 45
106,Sportplatz Sachtlebenstraße,Sachtlebenstr. 36,14165,Gas,192.828,15.163,
107,"Seniorenfreizeitstätte ""Maria Rimkus""",Gallwitzallee 53,12249,Gas,40.184,14.62,
108,Seniorenfreizeitstätte Ostpreußendamm 52,Ostpreußendamm 52,12207,Gas,61.36,8.432,
109,"Seniorenfreizeitstätte Selerweg 18 - ""Club Steglitz""",Selerweg 18,12169,Gas,43.878,11.325,
110,Seniorenfreizeitstätte Bolchener Str. 5,Bolchener Str. 5,14167,Fernwärme,105.81,16.454,
111,"Seniorenfreizeitstätte ""Nord"" - Argentinische Allee 89",Argentinische Allee 87,14167,Gas,120.445,23.6,
112,"Seniorenfreizeitstätte ""Süd"" - Teltower Damm 226",Teltower Damm 226,14167,Gas,64.125,14.377,
113,"SWH ""Kurt Arnold"" Mudrastraße 1-11",Mudrastraße 1-11,12249,Fernwärme,,0,Liegenschaft ist zum 01.01.2018 verkauft
114,SWH Tautenburger Straße 34,Tautenburgerstr. 34,12249,Fernwärme,158.09,7.76,Liegenschaft ist zum 01.07.2019 verkauft
115,"SWH ""Haus Dreilinden"" - Dreilindenstraße 81-85",Dreilindenstr. 81-85,14109,Fernwärme,,0,Liegenschaft ist zum 01.01.2018 verkauft
116,Rathaus Steglitz,Schloßstr. 37,12163,Fernwärme,117.704,76.435,
117,Rathaus Lichterfelde,Goethestr. 9-13,12207,Gas,434.755,39.819,
118,Rathaus Zehlendorf,"Kirchstr. 1-3, alle Bauteile",14163,Gas,2.670.701,879.742,versorgt mit Strom: Nr. 119; 120; 134 sowie Musikschule Zehlendorf
119,Grundstücksamt - Martin-Buber-Straße 2,Martin-Buber-Str. 2,14163,Gas,72.468,,Stromversorgung aus Nr. 118
120,Standesamt Teltower Damm 10,Teltower Damm 10,14167,Gas,70.716,,Stromversorgung aus Nr. 118
121,Jugendamt-Regionalendienst - Hohenzollernstr. 11,Hohenzollernstr. 11,14163,Gas,114.903,5.545,
122,Gesundheitsamt Potsdamer Straße 8,Potsdamer Str. 8,14163,Gas,281.162,,Stromversorgung aus Nr. 184
123,Erziehungs-u. Familienberatung Königin-Luise-Str. 88,Königin-Luise-Str. 88,14195,Gas,,12.436,Wärmeversorgung aus Nr. 88
124,Vet.- u. Lebensmittelaufsicht Königin-Luise-Str. 92,Königin-Luise-Str. 92 (Föhrenweg),14195,Gas,,20.124,Wärmeversorgung aus Nr. 88
125,Vet.- u. Lebensmittelaufsicht Königin-Luise-Str. 96,Königin-Luise-Str. 96,14195,Gas,,16.422,Wärmeversorgung aus Nr. 88
126,Ratswaage-Frauenverein,Charlottenstr. 64,12247,Gas,11.655,494,
127,Gutshaus Steglitz,Wrangelstr. 1,12165,Fernwärme,120.869,33.1,
128,Stadtteilbibliothek Lankwitz,Bruchwitzstr. 37,12247,Gas,135.961,28.028,
129,Gottfried-Benn Bibliothek,Beuckestr. 1-3 // Nentershauser Platz 1,14163,Gas,190.719,0,Stromversorgung aus Nr. 54
130,Schwartzsche Villa,Grunewaldstr. 55,12165,Fernwärme,152.451,43.02,
131,Musikschule und Kunstamt,Grabertstr. 4,12169,Gas,54.628,10.859,
132,VHS - Haus der Volkshochschule,Onkel-Tom-Str. 14,14163,Gas,230.927,0,Stromversorgung aus Nr. 184
133,VHS Lehrstätte Rondellstraße 5,Rondellstr. 5,14163,Gas,71.135,18.18,
134,VHS Geschäftsstelle Markgrafenstraße 3,Markgrafenstr. 3,14163,Gas,76.328,0,Stromversorgung aus Nr. 118
135,Heimatverein/Kunstamt,Clayallee 355,14163,Gas,68.201,5.975,
136,Jugendverkehrsschule - Steglitz (Schulverkehrsgarten),Albrechtstraße 42,12167,Elektroheizung,11.893,12.649,
137,Verwaltungsgebäude - Ordnungsamt / Jugendamt,Unter den Eichen 1,12203,Fernwärme,130.07,34.86,
138,Sozialpsychiatrischer Dienst Bergstraße,Bergstr. 90,12169,Gas,168.113,17.691,
139,Fürsorgestelle Sonnebergerweg,Sonnebergerweg 28-29,12209,Gas,157.947,7.528,
140,Fürsorgestelle Mercatorweg,Mercatorweg 6,12207,Fernwärme,76.838,27.569,
141,Jugendgesundheitsdienst Charlottenstr. 10,Charlottenstr. 10,14109,Gas,89.509,,Stromversorgung aus Nr. 43
142,Sozialpsychiatrischer Dienst Königstr. 36,Königstr. 36,14163,Gas,137.927,10.149,
143,PUK Albrechtstraße 47,Albrechtstraße 47,12167,Nachtspeicher-heizung,56.763,9.489,
144,PUK Am Gemeindepark 1,Am Gemeindepark 1,12249,Gas,,28.343,Wärmeversorgung aus Nr. 97
145,PUK Bergstraße 50,Bergstr. 50,12169,Nachtspeicher-heizung,27.768,11.756,
146,PUK Goebenstraße 4,Goebenstr. 4,12167,Elektroheizung,259,288,
147,PUK Hindenburgdamm 26-28,Hindenburgdamm 26-28,12203,Nachtspeicher-heizung,750,0,
148,PUK Klingsorstraße 96 a,Klingsorstr. 96a,12203,Gas,15.289,789,
149,PUK Krahmerstraße 14,Krahmerstr. 14,12207,Gas,39.731,4.592,
150,PUK Ostpreußendamm 95 c,Ostpreußendamm 95 c,12207,Nachtspeicher-heizung,,3.384,ausser Betrieb / Frostfreihaltung
151,PUK Preysingstrraße 44,Preysingstr. 44,12249,Elektroheizung,,,ausser Betrieb / Frostfreihaltung
152,PUK Schildhornstraße 5 a,Schildhornstr. 5a,12163,Nachtspeicher-heizung,,,ausser Betrieb
153,PUK Schütte-Lanz-Straße 59,Schütte-Lanz-Str. 59,12209,Gas,95.682,4.717,
154,PUK Stubenrauchstraße 14 a,Stubenrauchstr. 14a,12203,Nachtspeicher-heizung,22.704,5.442,
155,PUK Wunsiedeler Weg 28,Wunsiedeler Weg 28 / 30,12247,Nachtspeicher-heizung,,,ausser Betrieb
156,Werkhof Dillgestraße / Charlottenstraße,Dillgestr. 1 - 5,12247,Gas,458.565,39.098,
157,Friedhof Bergstaße 38,Bergstraße 38 & Bismarkstraße 50,12169,Gas,371.932,49.294,
158,Friedhof Lange Straße 8,Lange Str. 8 / Kiesstraße 21,12209,Gas,53.363,7.899,
159,Friedhof Moltkestraße 41 a - 42,Moltkestr. 42 - 41a,12203,Nachtspeicher-heizung,17.125,9.897,
160,Parkfriedhof Thuner Platz 2 - 4,Thuner Platz 2-4,12205,Gas,394.429,42.841,
161,PUK Am Erlenbusch,Am Erlenbusch (ggü. Nr. 13 ),14169,Gas,26.563,1.413,
162,PUK Am Schlachtensee 72  - Paul-Ernst-Park,Am Schlachtensee 72,14129,Gas,34.226,4.801,
163,PUK Berlepschstraße 153 - Grünzug Düppel-Süd,Berlepschstr. 153,14165,Nachtspeicher-heizung,545,35,
164,PUK Bitterstr. 12a - Thielpark,Bitterstr. 12a,14195,Gas,13.68,2.589,
165,PUK Dahlemer Weg  - Heinrich-Laehr-Park,Heinrich-Laehr-Park,14167,Nachtspeicher-heizung,,276,ausser Betrieb / Frostfreihaltung
166,PUK Finkenstr. 13 - Finkenpark,Finkenstr. 13 (ggü)- Heinr.- Stahl- Weg,14195,Nachtspeicher-heizung,16.753,2.889,
167,PUK Hohentwielsteig - ehem. Baumschule,Hohentwielsteig / Potsd. Ch. 101,14163,Elektroheizung,,,ausser Betrieb
168,PUK Königstr. 35 - Glienicker Park,"Königstr. 35 e, d, b, c",14109,Gas,52.378,10.514,
169,PUK Königstr. 42 - Gymnastikhalle Wannsee,Königstr. 42a,14109,Gas,165,5.917,
170,PUK Leichhardtstraße - Dreipfuhlpark,Leichhardtstr. 45 (Dreipfuhlpark),14195,Öl,39.415,1.549,
171,PUK Krottnauer Straße,Krottnauer Str. 77,14129,Elektroheizung,,,Stromversorgung aus Nr. 41
172,PUK Nibelungenstraße 50,Nibelungenstr. 50 / Dreilindenstr. 81 Y,14109,Gas,27.731,9.301,
173,PUK Onkel-Tom-Str. 40 & 63 - Fischtalpark,Onkel-Tom-Str. 40 und 63,14169,Gas,44.236,,Stromversorgung aus Nr. 45
174,PUK Onkel-Tom-Str. 165 - 167 Y - Rodelbahn,Onkel-Tom-Str. 165,14169,Elektroheizung,,,Stromversorgung aus Nr. 45
175,PUK Rondellstraße - Gemeindewäldchen,Gemeindewäldchen / Potsdamerstraße,14163,Nachtspeicher-heizung,,360,ausser Betrieb / Frostfreihaltung
176,PUK Rötheweg 4 - Elvirasteig,Rötheweg 4,14129,Nachtspeicher-heizung,16.638,483,
177,PUK Sachtlebenstraße 55,Sachtlebenstr. 55,14165,Nachtspeicher-heizung,16.31,3.909,
178,PUK Sundgauer Str. 133,Sundgauer Str. 133,14167,Fernwärme,24.792,12.306,
179,PUK Thielallee 57 - Thielpark,Thielallee 57,14169,Gas,42.139,1.481,
180,PUK Niklasstraße 2 c - Lagerplatz,Niklasstr. 2c,14163,Gas,,16.586,
181,Freilandlabor - Zehlendorf - Sachtlebenstraße 32,Sachtlebenstraße 32,14165,Gas,49.103,2.091,
182,Friedhof Dahlem - Königin-Luise-Straße 57,Königin-Luise-Str. 57,14195,Nachtspeicher-heizung,12.37,266,
183,Friedhof Wannsee - Friedensstraße 8 / 10,Friedenstr. 8/10,14109,Gas,27.558,6.306,
184,Friedhof Zehlendorf - Onkel-Tom-Straße 26 / 30,Onkel-Tom-Str. 26 / 30,14165,Gas,53.781,279.924,versorgt mit Strom: Nr. 39; 123; 133
185,Waldfriedhof Dahlem - Hüttenweg 47,Hüttenweg 47,14195,Gas,152.215,9.701,
186,Waldfriedhof Zehlendorf - Wasgensteig 30,Wasgensteig 30,14129,Gas,222.093,59.131,
187,Berliner Str. 15 y,"Beleuchtung Kunststehle (U-
Bahneingang)",14169,,-,500,Beleuchtung
188,Berliner Str. 15a,Jeanne-Barez-Schule,14169,Gas,107014,11623,"Vermietet an ""Pankower Früchtchen"""
189,Berliner Str. 19,Jeanne-Barez-Schule,14169,Gas,460301,50850,Versorgung mehrerer Gebäude
