level_0,index,facility,plz,heat_supply,heat_consumption,power_consumption,district,year,facility_type,District_Overview,Heat_Consumption_per_District,Year_Overview,Facility_Type_Overview,District_Detail,Power_Consumption_District_Facility_Type_Year,District_Results,Power_Consumption_per_District,Facility_type_Overview,power_consumption,Facility_Type_Results,Heat_Consumption_per_Facility_Type
55,55,Sportfunktionsgebäude,10317,Erdgas H,107025,39062,Lichtenberg,2018,Sport,,,2019.0,Platz,Pankow,496120.0,,,,,,
56,56,Brunnen,10365,Fernwärme,0,2603,Lichtenberg,2018,Platz,,,2019.0,Platz,Steglitz-Zehlendorf,406427.0,,,,,,
57,57,Egon-Erwin-Kisch-Bibliothek,10365,Fernwärme,0,44235,Lichtenberg,2018,Schule,,,2019.0,Platz,Treptow - Kopernick,380052.0,,,,,,
58,58,Keramikatelier,10365,Fernwärme,0,26558,Lichtenberg,2018,Kultur,,,2019.0,Schule,Lichtenberg,5697743.0,,,,,,
59,59,Sonnenuhr-Schule,10369,Fernwärme,323592,46965,Lichtenberg,2018,Schule,,,2019.0,Schule,Mitte,8412684.0,,,,,,
60,60,Johann-Gottfried-Herder-Gymnasium,10369,Fernwärme,510580,90450,Lichtenberg,2018,Sport,,,2019.0,Schule,Pankow,7300143.0,,,,,,
61,61,Alexander-Puschkin-Schule,10319,Fernwärme,174085,9268,Lichtenberg,2018,Schule,,,2019.0,Schule,Steglitz-Zehlendorf,8508533.0,,,,,,
62,62,Kapelle,13053,Fernwärme,0,1,Lichtenberg,2018,Other,,,2019.0,Schule,Treptow - Kopernick,4908646.0,,,,,,
63,63,Revierstützpunkt,10315,Fernwärme,65463,2895,Lichtenberg,2018,Other,,,2019.0,Sport,Lichtenberg,708670.0,,,,,,
64,64,Sporthalle,10315,Fernwärme,132862,1626,Lichtenberg,2018,Sport,,,2019.0,Sport,Mitte,3256043.0,,,,,,
65,65,Ausbildungsgebäude,10365,Erdgas H,78858,4103,Lichtenberg,2018,Schule,,,2019.0,Sport,Pankow,1896204.0,,,,,,
66,66,JFE,13059,Fernwärme,56215,6108,Lichtenberg,2018,Other,,,2019.0,Sport,Steglitz-Zehlendorf,1301262.0,,,,,,
67,67,Bürogebäude,13055,Fernwärme,818644,363328,Lichtenberg,2018,Büro,,,2019.0,Sport,Treptow - Kopernick,1709186.0,,,,,,
68,68,Friedhof,10365,Erdgas H,318624,12952,Lichtenberg,2018,Denkmal,,,2019.0,Wohnung,Lichtenberg,13501.0,,,,,,
69,69,Schule auf dem lichten Berg,10365,Fernwärme,98601,16451,Lichtenberg,2018,Schule,,,2019.0,Wohnung,Mitte,287747.0,,,,,,
70,70,Hermann-Gmeiner-Schule,10365,Fernwärme,851595,31700,Lichtenberg,2018,Schule,,,2019.0,Wohnung,Steglitz-Zehlendorf,54222.0,,,,,,
71,71,Hermann-Gmeiner-Schule,10365,Fernwärme,0,58050,Lichtenberg,2018,Schule,,,2020.0,Büro,Lichtenberg,723742.0,,,,,,
72,72,Sportfunktionsgebäude,10317,Erdgas H,90822,26494,Lichtenberg,2018,Sport,,,2020.0,Büro,Mitte,280639.0,,,,,,
73,73,Schule am Grünen Grund,10365,Flüssiggas,34323,3377,Lichtenberg,2018,Schule,,,2020.0,Büro,Steglitz-Zehlendorf,5323.0,,,,,,
74,74,Sportfunktionsgebäude,10369,Flüssiggas,50089,2045,Lichtenberg,2018,Sport,,,2020.0,Denkmal,Lichtenberg,15312.0,,,,,,
75,75,Schule im Gutspark,10367,Fernwärme,341704,78855,Lichtenberg,2018,Schule,,,2020.0,Denkmal,Mitte,10702.0,,,,,,
76,76,Seniorenfreizeitstätte,10369,Fernwärme,0,6009,Lichtenberg,2018,Wohnung,,,2020.0,Denkmal,Pankow,22644.0,,,,,,
77,77,Sporthalle,13059,Fernwärme,340023,10459,Lichtenberg,2018,Sport,,,2020.0,Denkmal,Steglitz-Zehlendorf,380789.0,,,,,,
78,78,Manfred-von-Ardenne-Gymnasium,13055,Fernwärme,62938,1260,Lichtenberg,2018,Sport,,,2020.0,Denkmal,Treptow - Kopernick,27222.0,,,,,,
79,79,Kultur-Galerie,13055,Fernwärme,0,2891,Lichtenberg,2018,Kultur,,,2020.0,Kultur,Lichtenberg,195800.0,,,,,,
80,80,Brunnen,10369,Fernwärme,0,1678,Lichtenberg,2018,Platz,,,2020.0,Kultur,Mitte,2279959.0,,,,,,
81,81,Brunnen,10369,Fernwärme,0,4450,Lichtenberg,2018,Platz,,,2020.0,Kultur,Pankow,358695.0,,,,,,
82,82,Brunnen,13055,Fernwärme,0,2017,Lichtenberg,2018,Platz,,,2020.0,Kultur,Steglitz-Zehlendorf,1682763.0,,,,,,
83,83,Manfred-von-Ardenne-Gymnasium,13055,Fernwärme,166400,8238,Lichtenberg,2018,Sport,,,2020.0,Kultur,Treptow - Kopernick,589736.0,,,,,,
84,84,Brodowin-Schule,13055,Fernwärme,540081,71666,Lichtenberg,2018,Schule,,,2020.0,Other,Lichtenberg,528919.0,,,,,,
85,85,Brodowin-Schule,13055,Fernwärme,138434,33511,Lichtenberg,2018,Schule,,,2020.0,Other,Mitte,182901.0,,,,,,
86,86,Revierstützpunkt,10318,Erdgas H,52512,3251,Lichtenberg,2018,Other,,,2020.0,Other,Pankow,11481782.0,,,,,,
87,87,Friedrichsfelder Schule,10315,Fernwärme,323643,69000,Lichtenberg,2018,Schule,,,2020.0,Other,Steglitz-Zehlendorf,509794.0,,,,,,
88,88,Karlshorster Schule,10318,Fernwärme,454537,84602,Lichtenberg,2018,Schule,,,2020.0,Other,Treptow - Kopernick,846395.0,,,,,,
89,89,Karlshorster Schule,10318,Fernwärme,122840,27623,Lichtenberg,2018,Schule,,,2020.0,Platz,Lichtenberg,62400.0,,,,,,
90,90,Immanuel-Kant-Gymnasium,10317,Fernwärme,652749,129508,Lichtenberg,2018,Sport,,,2020.0,Platz,Mitte,926459.0,,,,,,
91,91,Grüner Campus Malchow,13053,Erdgas H,322666,58925,Lichtenberg,2018,Schule,,,2020.0,Platz,Pankow,385920.0,,,,,,
92,92,KiTa / Kirchengemeinde,13053,Fernwärme,0,21165,Lichtenberg,2018,Other,,,2020.0,Platz,Steglitz-Zehlendorf,385538.0,,,,,,
93,93,Paul-Schmidt-Schule,13053,Erdgas H,966832,36899,Lichtenberg,2018,Schule,,,2020.0,Platz,Treptow - Kopernick,358371.0,,,,,,
94,94,Jugendverkehrsschule,13053,Erdgas H,54819,2235,Lichtenberg,2018,Schule,,,2020.0,Schule,Lichtenberg,5673886.0,,,,,,
95,95,Alexander-Puschkin-Schule,10315,Fernwärme,795187,97900,Lichtenberg,2018,Schule,,,2020.0,Schule,Mitte,7558757.0,,,,,,
96,96,Bürgermeister-Ziethen-Schule,10315,Fernwärme,0,58950,Lichtenberg,2018,Schule,,,2020.0,Schule,Pankow,5843876.0,,,,,,
97,97,Bürgermeister-Ziethen-Schule (MEB),10315,Fernwärme,62079,0,Lichtenberg,2018,Schule,,,2020.0,Schule,Steglitz-Zehlendorf,7987896.0,,,,,,
98,98,KiTa,10319,Fernwärme,197910,48283,Lichtenberg,2018,Other,,,2020.0,Schule,Treptow - Kopernick,4689916.0,,,,,,
99,99,Notstromtrafo,10367,Fernwärme,0,2346,Lichtenberg,2018,Other,,,2020.0,Sport,Lichtenberg,762348.0,,,,,,
100,100,Bürogebäude,10367,Fernwärme,457926,121994,Lichtenberg,2018,Büro,,,2020.0,Sport,Mitte,2395259.0,,,,,,
101,101,Vereinshaus,13055,Fernwärme,60759,8175,Lichtenberg,2018,Kultur,,,2020.0,Sport,Pankow,1797389.0,,,,,,
102,102,Sportfunktionsgebäude,13055,Fernwärme,51788,12568,Lichtenberg,2018,Sport,,,2020.0,Sport,Steglitz-Zehlendorf,972305.0,,,,,,
103,103,Schule an der Victoriastadt,10317,Fernwärme,633615,103950,Lichtenberg,2018,Schule,,,2020.0,Sport,Treptow - Kopernick,1420574.0,,,,,,
104,104,Bürgeramt ,10367,Fernwärme,0,36676,Lichtenberg,2018,Other,,,2020.0,Wohnung,Lichtenberg,19871.0,,,,,,
105,105,Mies-van-der-Rohe Haus,13053,Erdgas H,66623,3832,Lichtenberg,2018,Kultur,,,2020.0,Wohnung,Mitte,288902.0,,,,,,
106,106,Seefilter,13053,Fernwärme,0,18121,Lichtenberg,2018,Other,,,2020.0,Wohnung,Steglitz-Zehlendorf,70240.0,,,,,,
107,107,Bürogebäude,13053,Erdgas H,146946,22715,Lichtenberg,2018,Büro,,,,,,,,,,,,
108,108,Nils-Holgersson-Schule,10369,Fernwärme,735277,250841,Lichtenberg,2018,Schule,,,,,,,,,,,,
